HOT PICKS,Code Number,Hardcover/Paperback,Name of book,Author,Genre,Goodreads Link,Publisher,Year
,B788C1,Hardcover,Your Favorite Seuss (Classic Seuss),Compiled by Cathy Goldsmith and Janet Schulman,Children's (3-5 yrs),https://www.goodreads.com/book/show/7771.Your_Favorite_Seuss?ac=1&from_search=true,,
,B789C1,Hardcover,The 20th-Century Children's Book Treasury: Picture Books and Stories to Read Aloud,Janet Schulman,Children's (3-5 yrs),https://www.goodreads.com/book/show/238068.The_20th_Century_Children_s_Book_Treasury?ac=1&from_search=true,,
,B790C1,Hardcover,Round Up: A Texas Number Book,Carol Crane,Children's (3-5 yrs),https://www.goodreads.com/book/show/1985708.Round_Up?ac=1&from_search=true,,
,B791C1,Hardcover,Thidwick The Big-Hearted Moose,Dr. Seuss,Children's (3-5 yrs),https://www.goodreads.com/book/show/849796.Thidwick_the_Big_Hearted_Moose,,
,B792C1,Paperback,The Mixed-Up Chameleon,Eric Carle,Children's (3-5 yrs),https://www.goodreads.com/book/show/394772.The_Mixed_Up_Chameleon?ac=1&from_search=true,,
,B793C1,Paperback,Roar Of A Snore,"Written by Marsha Diane Arnold, Illustrated by Pierre Pratt",Children's (3-5 yrs),https://www.goodreads.com/book/show/661992.Roar_of_a_Snore?ac=1&from_search=true,,
,B794C1,Paperback,Love You Forever,"Written by Robert Munsch, Illustrated by Sheila McGraw",Children's (3-5 yrs),https://www.goodreads.com/book/show/310259.Love_You_Forever?ac=1&from_search=true,,
,B795C1,Paperback,My Daddy and I,P. K. Hallinan,Children's (3-5 yrs),https://www.goodreads.com/book/show/21046.My_Daddy_and_I?ac=1&from_search=true,,
,B796C1,Hardcover,The Gruffalo,"Julia Donaldson, Axel Scheffler (Illustrator)",Children's (3-5 yrs),https://www.goodreads.com/book/show/1013383.The_Gruffalo?ac=1&from_search=true,,
,B797C1,Hardcover,My Lucky Day,Keiko Kasza,Children's (3-5 yrs),https://www.goodreads.com/book/show/68788.My_Lucky_Day?ac=1&from_search=true,,
,B798C1,Hardcover,The Berenstain Bears Bigger Book of Stories,Stan and Jan Berenstain,Children's (3-5 yrs),https://www.goodreads.com/book/show/6438018-the-berenstain-bears-bigger-book-of-stories?ac=1&from_search=true,,
,B799C2,Hardcover,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe: The Movie Storybook",Kate Egan,Children's (6-8 yrs),https://www.goodreads.com/book/show/153898.The_Lion_the_Witch_and_the_Wardrobe?ac=1&from_search=true,,
,B800C2,Paperback,Barbie Fairytopia: Magic of the Rainbow,Mary Man-Kong,Children's (6-8 yrs),https://www.goodreads.com/book/show/166264.Barbie_Fairytopia?ac=1&from_search=true,,
,B801C2,Hardcover,What Is God Like?,Beverly Lewis,Children's (Religious Fiction/Christianity),https://www.goodreads.com/book/show/4617598-what-is-god-like?ac=1&from_search=true,,
,B802C2,Hardcover,"Mary, Did You Know?: The Story of God's Great Plan",Mark Lowry,Children's (Religious Fiction/Christianity),https://www.goodreads.com/book/show/1143880.Mary_Did_You_Know_,,
,B804C3,Hardcover,Rocks and Minerals (Reader's Digest: Pathfinders),Reader's Digest Association,Children's (Non-Fiction),https://www.goodreads.com/book/show/8681656-rocks-and-minerals?ac=1&from_search=true,,
,B805C3,Hardcover,Insects and Spiders (Reader's Digest: Pathfinders),Reader's Digest Association,Children's (Non-Fiction),https://www.goodreads.com/book/show/1364313.Insects_and_Spiders?ac=1&from_search=true,,
,B806C3,Hardcover,Earthquakes and Volcanoes (Reader's Digest: Pathfinders),Reader's Digest Association,Children's (Non-Fiction),https://www.goodreads.com/book/show/2109902.Earthquakes_and_Volcanoes?ac=1&from_search=true,,
,B807C3,Hardcover,The Human Body (Reader's Digest: Pathfinders),Reader's Digest Association,Children's (Non-Fiction),https://www.goodreads.com/book/show/650701.The_Pathfinders?ac=1&from_search=true,,
,B808C3,Hardcover,Space (Reader's Digest: Pathfinders),Reader's Digest Association,Children's (Non-Fiction),https://www.goodreads.com/book/show/1389787.Space,,
,B809C3,Hardcover,Sharks and Other Sea Creatures (Reader's Digest: Pathfinders),Reader's Digest Association,Children's (Non-Fiction),https://www.goodreads.com/book/show/22060316-reader-s-digest-pathfinders-sharks-and-other-sea-creatures?ac=1&from_search=true,,
,T219TH,Paperback,The Veteran,Frederick Forsyth,Short Stories / Thriller,https://www.goodreads.com/book/show/34869.Mitla_Pass,,
,T230MY,Paperback,Innocent Blood,P. D. James,Mystery,https://www.goodreads.com/book/show/3834.Innocent_Blood,,
,Z065MY,Paperback,Death Comes to Pemberly,P. D. James,Mystery,https://www.goodreads.com/book/show/12875355-death-comes-to-pemberley?ac=1&from_search=true,,
,NB021MY,Paperback,Cat And Mouse,James Patterson,Mystery,https://www.goodreads.com/book/show/21436.Cat_and_Mouse?ac=1&from_search=true,,
,NB20MY,Paperback,Pop Goes The Weasel,James Patterson,Mystery,https://www.goodreads.com/book/show/13143.Pop_Goes_the_Weasel?ac=1&from_search=true,,
,NB018MY,Paperback,Roses Are Red,James Patterson,Mystery,https://www.goodreads.com/book/show/79378.Roses_are_Red?ac=1&from_search=true,,
,NB296MY,Paperback,The Beach House,James Patterson,Mystery,https://www.goodreads.com/book/show/7510.The_Beach_House?ac=1&from_search=true,,
,NB019MY,Paperback,Violets Are Blue,James Patterson,Mystery,https://www.goodreads.com/book/show/79379.Violets_Are_Blue?ac=1&from_search=true,,
,B669RO,Paperback,Divine Evil,Nora Roberts,Romance/ Mystery,https://www.goodreads.com/book/show/114179.Divine_Evil?ac=1&from_search=true,,
,B670RO,Paperback,Montana Sky,Nora Roberts,Romance/ Mystery,https://www.goodreads.com/book/show/941661.Montana_Sky,,
,B671RO,Paperback,The Villa,Nora Roberts,Romance/ Mystery,https://www.goodreads.com/book/show/19291617-the-villa,,
,B672RO,Paperback,Carolina Moon,Nora Roberts,Romance/ Mystery,https://www.goodreads.com/book/show/18908126-carolina-moon,,
,B673RO,Paperback,Private Scandals,Nora Roberts,Romance/ Mystery,https://www.goodreads.com/book/show/24835427-private-scandals,,
,NB039RO,Paperback,Remember When,Nora Roberts / J.D. Robb,Romance/ Mystery,https://www.goodreads.com/book/show/369778.Remember_When?ac=1&from_search=true,,
,NB034MY,Paperback,Speaking In Bones,Kathy Reichs,Mystery,https://www.goodreads.com/book/show/24338293-speaking-in-bones?ac=1&from_search=true,,
,NB015MY,Paperback,The Bone Collector,Jeffrey Deaver,Mystery,https://www.goodreads.com/book/show/2373.The_Bone_Collector?ac=1&from_search=true,,
,NB016MY,Paperback,The Coffin Dancer,Jeffrey Deaver,Mystery,https://www.goodreads.com/book/show/227729.The_Coffin_Dancer?ac=1&from_search=true,,
,NB017MY,Paperback,The Sleeping Doll,Jeffrey Deaver,Mystery,https://www.goodreads.com/book/show/1050383.The_Sleeping_Doll?ac=1&from_search=true,,
,NB007MY,Paperback,Career Of Evil,Robert Galbraith,Mystery,https://www.goodreads.com/book/show/25735012-career-of-evil?ac=1&from_search=true,,
,B075MY,Paperback,The Shimmering Road,Hester Young,Mystery,https://www.goodreads.com/book/show/27993232-the-shimmering-road,,
,B084MY,Paperback,Into The Water,Paula Hawkins,Mystery,https://www.goodreads.com/book/show/33224064-into-the-water,,
,T147MY,Paperback,And Then There Were None,Agatha Christie,Mystery/Crime Fiction,https://www.goodreads.com/book/show/28116072-and-then-there-were-none,,
,T197MY,Paperback,Death on the Nile,Agatha Christie,Mystery/Crime Fiction,https://www.goodreads.com/book/show/1009709.Death_on_the_Nile,,
,T198MY,Paperback,Crooked House,Agatha Christie,Mystery/Crime Fiction,https://www.goodreads.com/book/show/433091.One_Two_Buckle_My_Shoe,,
,T199MY,Paperback,One Two Buckle My Shoe,Agatha Christie,Mystery/Crime Fiction,https://www.goodreads.com/book/show/433091.One_Two_Buckle_My_Shoe,,
,B197MY,Paperback,The Labours of Hercules,Agatha Christie,Mystery/Crime Fiction,https://www.goodreads.com/book/show/1886.Pride_and_Prejudice,,
,B198MY,Paperback,Poirot Investigates,Agatha Christie,Mystery/Crime Fiction,https://www.goodreads.com/book/show/10533541-poirot-investigates,,
,B199MY,Paperback,Hercule Poirot's Christmas,Agatha Christie,Mystery/Crime Fiction,https://www.goodreads.com/book/show/16349.Hercule_Poirot_s_Christmas?ac=1&from_search=true,,
